firstName,lastName,email,age,userType
John,McClane,john.mcclane@example.com,45,Admin
Ellen,Ripley,ellen.ripley@example.com,38,User
James,Bond,james.bond@example.com,40,User
Sarah,Connor,sarah.connor@example.com,35,User
Indiana,Jones,indiana.jones@example.com,50,Admin
Jason,Bourne,jason.bourne@example.com,42,User
Lara,Croft,lara.croft@example.com,32,User
Maximus,Decimus,maximus.decimus@example.com,48,Admin
John,Wick,john.wick@example.com,43,User
Neo,Anderson,neo.anderson@example.com,39,User
Ethan,Hunt,ethan.hunt@example.com,41,User
Martin,Riggs,martin.riggs@example.com,37,User
Bryan,Mills,bryan.mills@example.com,47,Admin
Frank,Martin,frank.martin@example.com,36,User
Dominic,Toretto,dominic.toretto@example.com,38,User
Mad,Max,mad.max@example.com,44,User
Tony,Stark,tony.stark@example.com,45,Admin
Natasha,Romanoff,natasha.romanoff@example.com,34,User
Steve,Rogers,steve.rogers@example.com,42,User
